name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Junior+ Frontend разработчик,Караганда,,,,2024-12-17T08:23:01+0300,WOOPPAY,"Понимаешь работу и умеешь пользоваться инструментами сборки webpack, rollup, gulp или другими. Разбираешься в работе node, npm, vite, storybook. ",fullDay,HOURS_8,5/2,"Программист, разработчик",Нет опыта,full
Senior Frontend Developer,Алматы,,,,2024-12-17T10:46:05+0300,Grand era,REST. CSS3. Bootstrap / Antd. AJAX.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Strong Junior Backend разработчик,Алматы,300000.0,400000.0,KZT,2024-12-09T12:25:54+0300,NCRM GROUP,"PostgreSQL. - Понимание принципов архитектуры микросервисов. - Опыт <highlighttext>разработки</highlighttext> и проектирования высоконагруженных систем. - Понимание принципов хорошего Code review, критериев хорошей архитектуры и...",fullDay,HOURS_4,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Junior Frontend-разработчик,Алматы,,,,2024-12-10T13:41:08+0300,oitech,Промышленный опыт <highlighttext>разработки</highlighttext> с использованием React и понимание его основных принципов не менее 1 года. Знание современных инструментов <highlighttext>фронтенд</highlighttext> <highlighttext>разработки</highlighttext>...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Frontend-разработчик,Алматы,150000.0,200000.0,KZT,2024-11-30T09:52:47+0300,MINDWAVE,"Уверенное владение HTML, CSS(SCSS), JavaScript. Опыт работы с Vue3/Nuxt3 и Pinia. Знание принципов работы с REST...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Web-программист - стажер,Алматы,,,,2024-11-18T09:36:06+0300,Autodata,Основы программирования HTML&CSS. Базовые понимания в javascript. Теорию работы больших систем. Как поменять значения двух переменных не используя третью...,fullDay,HOURS_8,5/2,"Программист, разработчик",Нет опыта,full
Back-end разработчик,Алматы,,,,2024-11-26T14:42:47+0300,Cybernet (Кибернет),"Знание инструментов контейнеризации (Docker). Опыт написания тестов с использованием Pytest. Навыки работы в команде, ответственность и способность организовывать процесс <highlighttext>разработки</highlighttext>.",shift,HOURS_12,2/2,"Программист, разработчик",От 1 года до 3 лет,full
Java Архитектор,Алматы,1500000.0,,KZT,2024-12-10T08:56:44+0300,Home Labs,"Экспертиза во <highlighttext>front</highlighttext>-<highlighttext>end</highlighttext> фреймворках, таких как Angular и React. Глубокие знания JavaScript и современных методов <highlighttext>разработки</highlighttext>. Продвинутые навыки работы...",remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Manual QA инженер (стажер),Алматы,,,,2024-12-10T13:40:34+0300,oitech,"Понимание работы IT проектов, как технический взаимодействует backend и <highlighttext>frontend</highlighttext>, мобильное приложение. Вы активны, готовы учиться и развиваться в сфере...",fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
Backend-разработчик,Алматы,,,,2024-12-17T09:25:50+0300,TECHDRIVE,Express\Nest\Fastify. ORM-s like Prisma\Type ORM\Knex. Алгоритмическое мышление. Понимание парадигм\паттернов <highlighttext>разработки</highlighttext>. Развитые софт-скиллы. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
