name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Middle/Senior Android developer (in Uzbekistan),Алматы,,,,2024-12-16T16:59:01+0300,PAYME,"Java (<highlighttext>Android</highlighttext> SDK), Kotlin, Git (gitflow), Gradle, <highlighttext>Android</highlighttext> Studio, RxJava, Dagger 2. Опыт серьезных коммерческих приложений под <highlighttext>Android</highlighttext> от 3...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Тестировщик по Мобильным Приложениям,Алматы,100000.0,500000.0,KZT,2024-12-15T17:37:53+0300,Hyper Development,"Ожидаемый опыт: Опыт работы в области тестирования или <highlighttext>разработки</highlighttext> ПО. Знания Postman, Linux, bash, Docker, git. Знания в HTML, CSS...",remote,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,part
Product Designer в Kolesa.kz,Алматы,600000.0,1100000.0,KZT,2024-12-10T14:17:51+0300,Kolesa (АО Колеса),"Опыт работы с мобильными интерфейсами в продуктовой команде. Умение аргументировать свои дизайн решения. Навыки работы с аналитикой, проведения UX-исследований...",fullDay,HOURS_8,5/2,"Дизайнер, художник",От 1 года до 3 лет,full
Android Java-разработчик (Middle),Алматы,350000.0,500000.0,KZT,2024-12-13T13:00:18+0300,MORRE,Опыт <highlighttext>разработки</highlighttext> <highlighttext>Android</highlighttext> приложений не менее 1 года. - Отличное знание <highlighttext>Android</highlighttext> SDK. - Отличное владение Kotlin. - Умение работать с корутинами. - ,remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Тестировщик (middle),Алматы,,,,2024-12-13T10:03:22+0300,Prime Source,"Уверенные знания и опыт работы с Git, CI/CD, SQL, Charles Proxy/Proxyman, Postman, Xcode, <highlighttext>Android</highlighttext> Studio, Jira, Confluence. ",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Разработчик программного обеспечения,Актобе,,,,2024-12-03T10:43:06+0300,АПРО,"SQL. PL/SQL. HTML, CSS. Опыт, портфолио.",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Tech Lead,Алматы,,,,2024-12-17T15:30:28+0300,Частная компания Snoonu Technologies Ltd.,Ability to help teammates grow their personal <highlighttext>development</highlighttext> plans based on existing grades. Familiarity with graceful degradation software design principles...,remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Lead Unity QA Engineer,Алматы,,,,2024-12-17T15:49:00+0300,Sinomi Games,"Базовые знания игрового движка Unity. Опыт ручного тестирования мобильных игр или приложений, созданных на Unity. Навыки работы с системами баг...",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
"Программист-разработчик, АкТех",Алматы,450000.0,,KZT,2024-12-15T10:58:09+0300,AKTEH (АкТех),"Опыт работы в области Web <highlighttext>разработки</highlighttext> Asp.net MVC, C#, js, jQuery и приложениях <highlighttext>Android</highlighttext> + SQLite от 1 года – будет...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Middle / Senior Flutter разработчик,Алматы,500000.0,700000.0,KZT,2024-12-09T09:01:56+0300,DEMETRA SYSTEMS,"Опыт работы с Flutter и Dart не менее 3 лет. Экспертные знания в <highlighttext>Android</highlighttext>, iOS. Опыт работы с REST API...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
QA Mobile,Астана,,,,2024-11-21T11:32:51+0300,КПЕ Центр разработки (Казахстан),Понимание процессов CI/CD. - Опыт работы с xCode и <highlighttext>Android</highlighttext> Studio. - Умение работать с Postman. - Опыт автоматизации тестирования.,fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Программист-разработчик PHP,Алматы,350000.0,600000.0,KZT,2024-12-02T15:56:11+0300,Paloma365,"Html. Jquery. Css. Мобильная верстка. Приветствуется знания: Delphi. Необходимые навыки: Программировать сверху вниз(спроектировать-распланировать, а после приступать к <highlighttext>разработке</highlighttext>).",remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Android Developer,Алматы,,,,2024-12-12T13:19:57+0300,Andersen,"Commercial <highlighttext>Android</highlighttext> <highlighttext>development</highlighttext> experience for 3+ years. Strong knowledge of Java and Kotlin. Knowledge of OOP, SOLID principles, design...",fullDay,OTHER,Другое,"Программист, разработчик",От 3 до 6 лет,full
Разработчик Android,Алматы,,200.0,USD,2024-12-04T19:41:06+0300,Console Monetizer LLC,"Наличие верифицированного аккаунта Google Play Console. Наличие опыта прошлых публикаций в Google Play Console, требуемый опыт не менее 1 года. ",remote,FLEXIBLE,Свободный,"Программист, разработчик",От 1 года до 3 лет,project
Full-Stack Developer / Technical Co-Founder,Алматы,,,,2024-12-11T10:30:07+0300,Fingram,"Есть MVP (<highlighttext>Android</highlighttext> app + Node JS сервер) и early traction. No big legacy system. Also, ready to start from...",flexible,FLEXIBLE,Свободный,"Программист, разработчик",От 3 до 6 лет,part
QA Middle,Астана,,,,2024-12-17T09:33:01+0300,IT Analytics,2. Понимание процессов <highlighttext>разработки</highlighttext>: Глубокое понимание жизненного цикла <highlighttext>разработки</highlighttext> ПО и участие во всех его этапах. 3. Знание Postman: Уверенное...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Middle+/Senior Android developer,Алматы,,,,2024-12-16T15:14:15+0300,red_mad_robot,"...лет опыта коммерческой <highlighttext>разработки</highlighttext> под <highlighttext>Android</highlighttext>. Глубокое знание Kotlin и платформы <highlighttext>Android</highlighttext>. Владение Kotlin Coroutines, Flow. Владение <highlighttext>Android</highlighttext> Jetpack (ViewModel...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Разработчик Android,Астана,,200.0,USD,2024-12-04T19:41:06+0300,Console Monetizer LLC,"Наличие верифицированного аккаунта Google Play Console. Наличие опыта прошлых публикаций в Google Play Console, требуемый опыт не менее 1 года. ",remote,FLEXIBLE,Свободный,"Программист, разработчик",От 1 года до 3 лет,project
Product designer,Алматы,,,,2024-11-28T12:07:25+0300,"Beeline, ТМ","Базовые навыки HTML и CSS (будешь тесно взаимодействовать с frontend-<highlighttext>разработчиком</highlighttext>). Если умеешь работать в 3D, motion или анимации...",remote,HOURS_8,5/2,"Дизайнер, художник",От 3 до 6 лет,full
Senior QA Engineer,Алматы,800000.0,,KZT,2024-12-15T13:45:30+0300,IT Space Apps,"1)Навыки управления ресурсами: должен уметь эффективно планировать и распределять задачи среди QA команды, обеспечивая максимальную продуктивность и избегая перегрузок. ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
QA Team Lead,Алматы,,,,2024-11-20T11:03:24+0300,Khan Group,"Опыт написания тестов ui и api. Опыт тестирования мобильных приложений (<highlighttext>Android</highlighttext>, IOS). Опыт работы с Fiddler, adb. Понимание основных принципов...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Flutter разработчик,Алматы,,,,2024-12-04T12:34:35+0300,Thousand IT Company,Опыт программирования на языке flutter от 1 года обязательно. Опыт программирования на любом языке не менее года. Применять методы и...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Android Разработчик (Middle/Senior),Алматы,,,,2024-12-05T17:43:20+0300,RedLab,Опыт коммерческой мобильной <highlighttext>разработки</highlighttext> от 4 лет. <highlighttext>Android</highlighttext> Studio и Kotlin в повседневной <highlighttext>разработке</highlighttext>. Опыт в проектировании клиент-серверного взаимодействия. ,remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Node.js backend developer,Астана,,,,2024-11-25T15:29:48+0300,Zoftify Eesti OÜ,Work in an agile environment. 2+ years of Node.js experience. Practical experience with Typescript. Experience in building REST API...,remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Flutter-разработчик,Алматы,,600000.0,KZT,2024-11-26T07:37:35+0300,DIP KZ,"Опыт работы с State Manager-ом (Bloc, Cubit). Знание принципов <highlighttext>разработки</highlighttext> мобильных приложений для iOS и <highlighttext>Android</highlighttext>. Опыт работы с...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Разработчик гибридных мобильных приложений,Алматы,,,,2024-11-18T08:20:00+0300,Business Applications Solutions,"Понимание кроссплатформенной <highlighttext>разработки</highlighttext> и опыт создания приложений, которые работают без потерь производительности как на iOS, так и на <highlighttext>Android</highlighttext>. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Инженер по обеспечению качества встроенного ПО (QA),Алматы,550000.0,850000.0,KZT,2024-12-16T10:10:55+0300,Suretter Software (Суреттер Софтваре),Готовность к рутинным задачам. Навыки работы с операционными системами Windows/Linux/<highlighttext>Android</highlighttext>. Навыки работы с консолью Windows/Linux. ,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Менеджер продукта,Астана,,,,2024-12-15T16:20:46+0300,«Izi Paq»,"Технические навыки: Знание процессов <highlighttext>разработки</highlighttext> мобильных приложений: понимание платформ iOS и <highlighttext>Android</highlighttext>. Опыт работы с инструментами управления проектами: JIRA, Trello...",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
