name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Senior Frontend Developer,Алматы,,,,2024-12-17T10:46:05+0300,Grand era,REST. CSS3. Bootstrap / Antd. AJAX.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Strong Junior Backend разработчик,Алматы,300000.0,400000.0,KZT,2024-12-09T12:25:54+0300,NCRM GROUP,"PostgreSQL. - Понимание принципов архитектуры микросервисов. - Опыт <highlighttext>разработки</highlighttext> и проектирования высоконагруженных систем. - Понимание принципов хорошего Code review, критериев хорошей архитектуры и...",fullDay,HOURS_4,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Back-end разработчик,Алматы,,,,2024-11-26T14:42:47+0300,Cybernet (Кибернет),"Знание инструментов контейнеризации (Docker). Опыт написания тестов с использованием Pytest. Навыки работы в команде, ответственность и способность организовывать процесс <highlighttext>разработки</highlighttext>.",shift,HOURS_12,2/2,"Программист, разработчик",От 1 года до 3 лет,full
Backend Developer (Java),Астана,,,,2024-12-03T13:18:34+0300,MN Partners,"Умение работать в команде, быстро разбираетесь в чужом коде. Умение проектировать и разрабатывать <highlighttext>backend</highlighttext> решения. Изучаете новые технологии и платформы. ",fullDay,HOURS_8,5/2,"Программист, разработчик",Нет опыта,full
Бэкенд-разработчик Python,Астана,150000.0,600000.0,KZT,2024-11-21T10:33:33+0300,Cleverest Technologies,"...работать с ней через PyMongo. Умение взаимодействовать с объектными хранилищами, такими как MinIO, через Python. Понимание принципов <highlighttext>разработки</highlighttext> RESTful API.",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Manual QA инженер (стажер),Алматы,,,,2024-12-10T13:40:34+0300,oitech,"Понимание работы IT проектов, как технический взаимодействует <highlighttext>backend</highlighttext> и frontend, мобильное приложение. Вы активны, готовы учиться и развиваться в сфере...",fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
Backend-разработчик,Алматы,,,,2024-12-17T09:25:50+0300,TECHDRIVE,Express\Nest\Fastify. ORM-s like Prisma\Type ORM\Knex. Алгоритмическое мышление. Понимание парадигм\паттернов <highlighttext>разработки</highlighttext>. Развитые софт-скиллы. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior Python Developer,Астана,,6000.0,USD,2024-12-13T14:42:04+0300,SL KG,"5+ years of experience in Python (with expertise in asyncio, FastAPI). 2+ years of experience with MongoDB, Redis...",remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Frontend-разработчик,Астана,,,,2024-11-27T14:23:17+0300,Центр электронных финансов,Высшее техническое образование. Опыт работы не менее одного года на должности <highlighttext>разработчика</highlighttext>. Язык программирования- Java Script. Технический английсский -обязательно.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Middle Python Developer,Астана,500000.0,650000.0,KZT,2024-12-16T13:33:43+0300,Infinity Enterprises,"Опыт работы с ElasticSearch, запросы, агрегации. Умение писать эффективный с точки зрения производительности код, умение находить узкие места и оптимизировать...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
