name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
DWH Дата аналитик/DWH Data analyst,Алматы,,,,2024-12-17T11:42:03+0300,Agile Soft,"Опыт работы с инструментами <highlighttext>Data</highlighttext> Build Tool (DBT), Airflow, Jupyter Notebook. -Понимание принципов построения хранилищ данных DWH. -Понимание методов сбора...",fullDay,HOURS_8,5/2,"BI-аналитик, аналитик данных",От 3 до 6 лет,full
Веб-аналитик,Алматы,,,,2024-11-18T12:55:24+0300,MP Solutions,"Понимание принципов работы цифровой рекламы (контекстная реклама, ретаргетинг, SMM). Навыки настройки сквозной <highlighttext>аналитики</highlighttext> и интеграции данных с различными маркетинговыми платформами. ",fullDay,HOURS_8,5/2,Аналитик,От 1 года до 3 лет,full
Data аналитик,Алматы,,,,2024-12-15T13:21:39+0300,AVIATA.KZ,"Опыт работы с инструментами <highlighttext>Data</highlighttext> Build Tool (DBT), Airflow, Jupyter Notebook. Опыт работы с системами <highlighttext>аналитики</highlighttext> - Google Analytics, Яндекс Метрика...",fullDay,HOURS_8,5/2,Продуктовый аналитик,От 3 до 6 лет,full
Junior Data Analyst (CVM),Астана,,,,2024-12-12T13:52:14+0300,"Beeline, ТМ","Аналитический склад ума. Высшее образование (математика, программирование, экономика, инженерия). Коммуникабельность и умения работать в команде. MS Office (Word, Excel, Power...",fullDay,HOURS_8,5/2,Аналитик,От 1 года до 3 лет,full
Senior Data Engineer/Дата инженер,Алматы,,,,2024-12-17T11:52:26+0300,Agile Soft,"Опыт работы с отчетами и пакетами бизнес-<highlighttext>аналитики</highlighttext>, например: Tableau, QlikView, SAP BO etc. Опыт работы с языками программирования, например...",fullDay,HOURS_8,5/2,Дата-сайентист,От 3 до 6 лет,full
Junior Data Analyst (CVM),Алматы,,,,2024-12-12T13:52:22+0300,"Beeline, ТМ","Аналитический склад ума. Высшее образование (математика, программирование, экономика, инженерия). Коммуникабельность и умения работать в команде. MS Office (Word, Excel, Power...",fullDay,HOURS_8,5/2,Аналитик,От 1 года до 3 лет,full
Product manager SaaS продуктов,Астана,,,,2024-11-29T11:30:14+0300,Кононов (ТМ AlgaTop),Умение работать с данными (<highlighttext>data</highlighttext>-driven или <highlighttext>data</highlighttext>-informed подход). Понимание и применение принципов agile. Умение управлять изменениями. ,remote,HOURS_8,5/2,Менеджер продукта,От 1 года до 3 лет,full
Senior Product owner,Алматы,,,,2024-12-05T10:33:30+0300,BTS Digital,Уверенные навыки работы в Agile-команде и понимание Lean подхода. Опыт работы с инструментами <highlighttext>аналитики</highlighttext> и <highlighttext>data</highlighttext>-driven подхода. ,remote,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Аналитик данных (data analyst),Алматы,,,,2024-12-06T06:38:35+0300,"ALSECO, АО","Опыт работы с неструктурированными и частично структурированными данными. Знание Python для анализа данных (pandas, numpy, scikit-learn, и другими). ",fullDay,HOURS_8,5/2,"BI-аналитик, аналитик данных",От 3 до 6 лет,full
Бизнес-аналитик (в сфере автоматизации бизнес-процессов),Астана,,,,2024-12-16T11:17:30+0300,«Izi Paq»,Опыт работы с государственными услугами. Знание основ/опыт работы <highlighttext>Data</highlighttext> Science. Опыт работы по формированию заданий для разработчиков по мобильным...,fullDay,HOURS_8,5/2,Аналитик,От 1 года до 3 лет,full
