name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Webmaster,Алматы,,,,2024-12-16T20:58:36+0300,"Velvetech, LLC",Proven work experience as a WordPress Developer or similar role. Experience in managing content publication and configuring websites through CMS...,fullDay,HOURS_4,5/2,"Программист, разработчик",От 3 до 6 лет,part
DevOps-инженер,Алматы,,,,2024-12-17T11:34:46+0300,My Startups,"Способен быстро разбираться в новых технологиях и инструментах, постоянно следишь за трендами в области <highlighttext>DevOps</highlighttext>. - Имеешь опыт работы с базами...",fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Ведущий инженер (системный аналитик),Астана,,550000.0,KZT,2024-11-28T15:56:13+0300,Национальные информационные технологии,"Опыт в написании технической документации (ТЗ, инструкции, спецификации). Опыт взаимодействия с кросс-функциональными командами (разработчики, QA, аналитики, <highlighttext>DevOps</highlighttext>).",fullDay,HOURS_8,5/2,"BI-аналитик, аналитик данных",От 1 года до 3 лет,full
Python Backend Developer,Алматы,,,,2024-11-22T17:05:23+0300,oitech,"Опыт: 3+ лет в разработке на Python (production опыт). Технологии: Отличное знание Python (Django, Flask, FastAPI), опыт работы с...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
"Senior Data Engineer (Python, Spark, SQL)",Алматы,,,,2024-12-17T13:58:25+0300,tny.,"Advanced level English. Azure data factory, AWS Glue, Airflow. <highlighttext>DevOps</highlighttext> experience. Experience with low-code ETL tools like Dagster, Stitch...",remote,FLEXIBLE,Свободный,"Программист, разработчик",От 3 до 6 лет,full
DevOps администратор на проект,Алматы,,,,2024-12-10T15:10:33+0300,Southbridge,Опыт работы с GitLab CI для автоматизации процессов CI/CD. — Опыт работы с Ansible/Puppet/Chef для конфигурационного управления и...,remote,HOURS_4,5/2,DevOps-инженер,От 1 года до 3 лет,part
DevOps Engineer,Алматы,,,,2024-12-06T11:01:20+0300,MYTONA KZ,Опыт работы в качестве <highlighttext>DevOps</highlighttext> от 2-х лет. Опыт работы с Kubernetes и Docker. Знание Helm и умение писать...,remote,HOURS_8,5/2,DevOps-инженер,От 1 года до 3 лет,full
Технический архитектор,Астана,1000000.0,,KZT,2024-12-11T13:30:06+0300,Networks Energy,"Опыт работы с базами данных (SQL, NoSQL). - Знание <highlighttext>DevOps</highlighttext>-практик, CI/CD, контейнеризации (Docker, Kubernetes). - Опыт работы с инструментами мониторинга...",fullDay,HOURS_8,5/2,Директор по информационным технологиям (CIO),Более 6 лет,full
Backend Developer (Django),Алматы,450000.0,700000.0,KZT,2024-11-22T14:00:22+0300,Бекхожаев К.Т,...работы с проектами для социальных сетей или приложений знакомств. Понимание принципов разработки масштабируемых систем с высокой нагрузкой. Знание <highlighttext>DevOps</highlighttext>-подходов.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Junior+ Node.js разработчик,Алматы,,120000.0,RUR,2024-12-03T08:50:28+0300,Ботхаб,"Глубокие знания JavaScript (ES6), TypeScript, Node.js и Express от 1 года реального коммерческого опыта (проверяется качество проектов, знания на...",remote,HOURS_8,5/2,"Программист, разработчик",Нет опыта,full
