name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Software engineer (iOS),Алматы,50000.0,250000.0,KZT,2024-12-16T20:14:03+0300,Каражигитов,С опытом в <highlighttext>разработке</highlighttext> приложений. Идеальный кандидат. Async comm skills.,remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
IOS разработчик,Алматы,,,,2024-12-17T13:45:21+0300,Khan Group,"Основы работы с Git или другими. Системами контроля версий. Методологии <highlighttext>разработки</highlighttext> ПО (Agile, Scrum). Есть опыт в написании Unit и...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Product Designer в Kolesa.kz,Алматы,600000.0,1100000.0,KZT,2024-12-10T14:17:51+0300,Kolesa (АО Колеса),"Опыт работы с мобильными интерфейсами в продуктовой команде. Умение аргументировать свои дизайн решения. Навыки работы с аналитикой, проведения UX-исследований...",fullDay,HOURS_8,5/2,"Дизайнер, художник",От 1 года до 3 лет,full
Senior IOS разработчик,Алматы,,,,2024-12-15T13:37:33+0300,AVIATA.KZ,...<highlighttext>iOS</highlighttext>. Знание принципов работы памяти в <highlighttext>iOS</highlighttext>. Навыки выявления уязвимых мест. Навыки работы с системами аналитики Firebase/Appmetrica/Amplitude. <highlighttext>Разработка</highlighttext>...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Odoo Developer,Астана,1500.0,,USD,2024-12-11T23:38:46+0300,Ростокин Артем Валерьевич,"...experience in web <highlighttext>development</highlighttext>. Strong proficiency in Python and core programming concepts. Experience in designing and <highlighttext>developing</highlighttext> Odoo applications, including...",remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Tech Lead,Алматы,,,,2024-12-17T15:30:28+0300,Частная компания Snoonu Technologies Ltd.,Ability to help teammates grow their personal <highlighttext>development</highlighttext> plans based on existing grades. Familiarity with graceful degradation software design principles...,remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Мобильный разработчик IOS (middle),Алматы,,,,2024-12-04T12:14:34+0300,IDOCSKZ,Понимание работы компонентов <highlighttext>iOS</highlighttext> SDK. Коммерческий опыт <highlighttext>разработки</highlighttext> мобильных приложений на <highlighttext>iOS</highlighttext> от 2-х лет. Опыт <highlighttext>разработки</highlighttext> клиент-серверных...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
IOS-разработчик (middle),Алматы,,,,2024-12-06T09:03:04+0300,"Beeline, ТМ","Уверенное владение Swift. Опыт поддерживать и разрабатывать коммерческие <highlighttext>iOS</highlighttext> приложения. Умение решать баги. Понимания, как работает управление памятью и многопоточностью. ",remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
IOS Developer,Астана,,,,2024-12-16T17:02:52+0300,Andersen,Must-haves: - Commercial <highlighttext>iOS</highlighttext> <highlighttext>development</highlighttext> experience for 3+ years. - Strong knowledge of <highlighttext>iOS</highlighttext> SDK. - Commercial experience of Swift <highlighttext>development</highlighttext>. - ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Middle / Senior Flutter разработчик,Алматы,500000.0,700000.0,KZT,2024-12-09T09:01:56+0300,DEMETRA SYSTEMS,"Опыт работы с Flutter и Dart не менее 3 лет. Экспертные знания в Android, <highlighttext>iOS</highlighttext>. Опыт работы с REST API...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
