name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Senior Frontend Developer,Алматы,,,,2024-12-17T10:46:05+0300,Grand era,REST. CSS3. Bootstrap / Antd. AJAX.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Product manager/Менеджер продукта,Алматы,,,,2024-12-13T09:18:23+0300,Kolesa (АО Колеса),"Умения отвечать за свою работу и доводить её до конца. Навыки работы с ограниченными ресурсами, четко соблюдая сроки. ",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Продуктовый менеджер / Интегратор,Астана,2500.0,3000.0,USD,2024-12-16T21:40:30+0300,XCloud Labs LTD,"Опыт работы в роли <highlighttext>Product</highlighttext> Owner, Project <highlighttext>Manager</highlighttext> или аналогичной позиции в финтехе, криптовалютной сфере или с платежными системами — от...",remote,HOURS_8,5/2,Системный аналитик,От 3 до 6 лет,full
Product/Project менеджер/Руководитель проекта,Астана,300000.0,800000.0,KZT,2024-11-18T16:47:15+0300,ALLSET PRO,Опыт работы в качестве <highlighttext>Product</highlighttext> <highlighttext>manager</highlighttext>/ IT специалиста не менее - 3-х лет. Иметь понятие о PHP платформе. ,remote,FLEXIBLE,Другое,Руководитель проектов,От 3 до 6 лет,part
Chief Product Officer,Алматы,,,,2024-12-15T09:46:19+0300,My Startups,"Опыт работы на позиции CPO, Head of <highlighttext>Product</highlighttext> или <highlighttext>Product</highlighttext> <highlighttext>Manager</highlighttext> от 3 лет. Успешный опыт разработки и вывода цифровых...",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Продуктовый дизайнер,Алматы,,,,2024-12-10T11:39:54+0300,Bilim Land (Bilim Media Group),Опыт не менее 1-ого года на позиции продуктового дизайнера. Опыт не менее 1-ого года в SaaS или функциональных...,remote,HOURS_8,5/2,"Дизайнер, художник",От 1 года до 3 лет,full
Менеджер продукта,Алматы,,,,2024-12-12T07:37:24+0300,KazNetCom,"Опыт работы продукт-менеджером от 2 лет (желательно в сфере IT, телеком или B2B). Понимание рынка интернет-услуг...",fullDay,FLEXIBLE,5/2,Менеджер продукта,От 1 года до 3 лет,full
Product/Project Manager,Алматы,,,,2024-12-10T10:54:16+0300,Bilim Land (Bilim Media Group),Создавать амбициозные роадмапы и грамотно вести бэклог. Высшее техническое образование будет большим плюсом. Реальный опыт внедрения IT-решений – у тебя...,fullDay,HOURS_8,5/2,Менеджер продукта,От 1 года до 3 лет,full
Product manager SaaS продуктов,Астана,,,,2024-11-29T11:30:14+0300,Кононов (ТМ AlgaTop),"Системное мышление и умение строить гибкие процессы. Навыки problem-solving: анализ проблем, выработка гипотез, проведение экспериментов. Умение работать с данными...",remote,HOURS_8,5/2,Менеджер продукта,От 1 года до 3 лет,full
Tech Lead,Алматы,,,,2024-12-17T15:30:28+0300,Частная компания Snoonu Technologies Ltd.,5+ years of experience in a similar field. Excellent .NET Core knowledge (we are using Net Core 8). ,remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Senior Product Manager,Алматы,,,,2024-12-14T20:39:18+0300,My Startups,"Разбираешься в данных, умеешь анализировать их и принимать решения на основе цифр.",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Customer Success Manager,Алматы,,,,2024-12-16T14:55:43+0300,CodiPlay,"Strong Communication Skills: Ability to navigate situations where immediate solutions aren’t feasible, ensuring clear, empathetic communication to keep clients...",fullDay,HOURS_8,5/2,Специалист технической поддержки,От 1 года до 3 лет,full
UX/UI Designer,Алматы,700000.0,,KZT,2024-11-29T13:29:07+0300,Axio,"Role background: Искать и адаптировать руководящие принципы дизайна, лучшие практики и стандарты, сосредоточенных как на пользовательском опыте, так и на...",fullDay,HOURS_8,5/2,"Дизайнер, художник",От 3 до 6 лет,full
Middle Product Manager,Алматы,600000.0,800000.0,KZT,2024-12-16T22:07:50+0300,1Fit,"Погружение в операционные процессы в компании, изучение потребностей и опыта пользователей и стейкхолдеров. — Опыт работы от 2 лет. — Техническая грамотность. — ",fullDay,HOURS_8,5/2,Менеджер продукта,От 1 года до 3 лет,full
Product manager,Алматы,,,,2024-12-15T08:12:15+0300,AVIATA.KZ,"Глубокое понимание продуктового управления и не менее 2 лет опыта работы <highlighttext>продакт</highlighttext>-<highlighttext>менеджером</highlighttext> (тревел-тех опыт не обязателен, но будет...",fullDay,HOURS_8,5/2,Бизнес-аналитик,От 1 года до 3 лет,full
Product Manager (Middle+/Senior) в стартап,Астана,600000.0,,KZT,2024-11-21T07:33:09+0300,Serenity Tech,"UX research: навыки по проведению CustDev (глубинные/решенческие/экспертные интервью фокус-группы, опросы, коридорные исследования). UI: навыки по моделированию user...",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Senior Database Engineer,Алматы,8000.0,10000.0,USD,2024-12-17T10:28:20+0300,ОнТаргет ЛАБС,3+ years of experience as a MySQL DBA/DBE. Experience designing and implementing Disaster Recovery Plans for Databases. ,remote,HOURS_4,5/2,Дата-сайентист,От 3 до 6 лет,full
Технический писатель,Алматы,,,,2024-12-16T17:30:17+0300,XCloud Labs LTD,"Опыт работы техническим писателем не менее одного года в IT, с доказанными примерами создания документации. Практические навыки создания документации для...",remote,HOURS_8,5/2,Технический писатель,От 1 года до 3 лет,full
