name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
QA Инженер,Алматы,,,,2024-12-16T14:55:43+0300,XCloud Labs LTD,Ранее работали специалистом по тестированию IT-продуктов или <highlighttext>системным</highlighttext> <highlighttext>аналитиком</highlighttext> в IT от 1 года. Вам знакомы слова ADB/Console...,remote,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Системный аналитик,Алматы,,,,2024-11-25T15:29:25+0300,Freedom Pay,"Опыт работы в FinTech проектах или в ecom. Опыт в построении различного уровня оптимизированных, высоконагруженных интеграционных сервисов, универсальных моделей и...",fullDay,HOURS_8,5/2,Системный аналитик,От 3 до 6 лет,full
Системный аналитик,Алматы,,,,2024-12-17T10:20:38+0300,JMart,Фасилитация встреч с заинтересованными лицами. Навыки описания бизнес-процессов и вариантов использования. Навыки работы с инцидентами. Умение обращаться к сервисам...,fullDay,HOURS_8,5/2,Системный аналитик,От 1 года до 3 лет,full
Ведущий инженер (системный аналитик),Астана,,550000.0,KZT,2024-11-28T15:56:13+0300,Национальные информационные технологии,"Знание жизненного цикла информ.систем и процессов веб-разработки (сайты, сервисы). Базовое понимание архитектуры информ.систем, БД. (SQL), работы API и интеграций...",fullDay,HOURS_8,5/2,"BI-аналитик, аналитик данных",От 1 года до 3 лет,full
Системный аналитик SA,Астана,800000.0,1000000.0,KZT,2024-12-10T07:58:01+0300,Inter Solutions,Составлять технические спецификации на основе потребностей бизнеса и возможностей технических систем. Опыт работы в области системного анализа не менее 2...,remote,HOURS_8,5/2,Системный аналитик,От 3 до 6 лет,full
Product/Project Manager,Алматы,,,,2024-12-10T10:54:16+0300,Bilim Land (Bilim Media Group),"От 1 года опыта в роли PM или <highlighttext>системного</highlighttext> <highlighttext>аналитика</highlighttext> и знаешь эту кухню изнутри. Самостоятельность, гибкость и умение думать...",fullDay,HOURS_8,5/2,Менеджер продукта,От 1 года до 3 лет,full
Cистемный аналитик/System analyst,Алматы,,,,2024-12-17T14:10:25+0300,TechWorks,Хороший опыт и навык написания и поддержки технической документации. Практический опыт работы с реляционными базами данных (SQL). Навыки database administration...,fullDay,HOURS_8,5/2,Системный аналитик,От 1 года до 3 лет,full
Менеджер проектов,Астана,,,,2024-12-02T09:49:29+0300,Коркем Телеком,Высшее образование (экономическое). Опыт работы в области структурирования инвестиционных проектов и проектов ГЧП - не менее 3 лет. Опыт участия в...,fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Менеджер проекта,Алматы,500000.0,600000.0,KZT,2024-12-02T07:32:17+0300,Коркем Телеком,"Высшее образование. Опыт управления проектами с применением инструментов и методов Agile, Scrum. Знание технических знаний IT-инфраструктуры (ЦОД, СХД и...",fullDay,HOURS_8,5/2,Руководитель проектов,От 1 года до 3 лет,full
Специалист по калибровке камер,Астана,150000.0,200000.0,KZT,2024-12-13T13:03:19+0300,Коркем Телеком,"Высшее, средне-специальное образование. Опытный пользователь ПК: MsWord, Excel, Internet. Умение работать в команде, коммуникабельность. Грамотная устная и письменная речь. ",fullDay,HOURS_8,5/2,Другое,Нет опыта,full
