name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Java Архитектор,Алматы,1500000.0,,KZT,2024-12-10T08:56:44+0300,Home Labs,"Образование: степень бакалавра или магистра в области компьютерных наук, <highlighttext>инженерии</highlighttext> или смежных областях. Опыт: 10+ лет опыта разработки программного...",remote,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Webmaster,Алматы,,,,2024-12-16T20:58:36+0300,"Velvetech, LLC","Experience with SEO best practices and optimizing websites for search <highlighttext>engines</highlighttext>. Knowledge of website optimization techniques, including page speed optimization...",fullDay,HOURS_4,5/2,"Программист, разработчик",От 3 до 6 лет,part
DevOps-инженер,Алматы,,,,2024-12-17T11:34:46+0300,My Startups,"Разбираешься в мониторинге и логировании (Prometheus, Grafana, ELK Stack), умеешь выстраивать системы наблюдения за инфраструктурой. - Понимаешь принципы <highlighttext>безопасности</highlighttext> и умеешь...",fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Инженер поддержки пользователей,Астана,,,,2024-12-12T13:28:33+0300,BI.ZONE,Ведение базы знаний в системе Confluence. Опыт работы в технической поддержке от 3 лет. Знание ОС Windows и MacOS на...,fullDay,OTHER,5/2,Специалист технической поддержки,От 3 до 6 лет,full
Инженер по информационной безопасности,Астана,,900000.0,KZT,2024-11-18T13:10:18+0300,CYBERFOX LLP,"Молодая команда – средний возраст 30 лет. SPLUNK, Safetica, Staffcop, Checkpoint, Huawei, Fudo, Nessus. -Опыт администрирования Checkpoint, Fortinet, Cisco. -",fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 1 года до 3 лет,full
Главный инженер производства,Астана,,450000.0,KZT,2024-12-12T11:57:09+0300,Arbuz Group (Арбуз Груп),Опыт работы. 3 года. Организации в которых кандидат работал. E-commerce — она же электронная торговля или электронная коммерция будет считаться...,fullDay,HOURS_8,5/2,Начальник производства,От 3 до 6 лет,full
"Senior Data Engineer (Python, Spark, SQL)",Алматы,,,,2024-12-17T13:58:25+0300,tny.,"...working experience in data <highlighttext>engineering</highlighttext>. Python, SQL, PySpark. ETL and ELT data pipelines. Cloud data <highlighttext>engineering</highlighttext> experience: AWS, GCP, Azure...",remote,FLEXIBLE,Свободный,"Программист, разработчик",От 3 до 6 лет,full
Senior Project manager,Алматы,,,,2024-12-03T15:09:25+0300,BTS Digital,Знание основ системной <highlighttext>инженерии</highlighttext>. Знание основ информационной <highlighttext>безопасности</highlighttext>. Самостоятельное управление проектом и проектной командой. Знание основ инфраструктуры и сетей при...,remote,HOURS_8,5/2,Руководитель проектов,От 3 до 6 лет,full
Инженер слаботочных систем,Алматы,500000.0,,KZT,2024-11-21T10:15:52+0300,Compas Technology.kz,"Уверенное пользование MS Office, MS Visio. Знание линеек оборудования систем <highlighttext>безопасности</highlighttext> российских и зарубежных производителей. Умение принимать технические решения, ответственность...",fullDay,HOURS_8,5/2,"Сервисный инженер, инженер-механик",От 3 до 6 лет,full
DevOps Engineer,Алматы,,,,2024-12-06T11:01:20+0300,MYTONA KZ,"Уверенные навыки администрирования Unix-систем. Понимание сетевой архитектуры и принципов сетевой <highlighttext>безопасности</highlighttext>. Опыт работы с облачными провайдерами, такими как AWS. ",remote,HOURS_8,5/2,DevOps-инженер,От 1 года до 3 лет,full
Технический архитектор,Астана,1000000.0,,KZT,2024-12-11T13:30:06+0300,Networks Energy,"Знание конкретных фреймворков и инструментов, используемых в компании. - ​​​​​​​​​​​​​​Высшее техническое образование (информатика, <highlighttext>инженерия</highlighttext>, программирование). - Опыт работы в разработке программного обеспечения...",fullDay,HOURS_8,5/2,Директор по информационным технологиям (CIO),Более 6 лет,full
Аналитик SOC L1,Астана,,,,2024-11-18T10:45:59+0300,Digital Qalqan,"...IDS/IPS, Firewall, SIEM, Proxy, Сканеры <highlighttext>безопасности</highlighttext>, Sandbox, Honeypots. Знание основных приемов социальной <highlighttext>инженерии</highlighttext>. Понимание принципов и основных приёмов фишинговых...",fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 1 года до 3 лет,full
Инженер по информационной безопасности,Астана,750000.0,,KZT,2024-11-26T08:46:57+0300,СОФТПРОМ,"Большим ""+"" будет знание ключевых заказчиков на рынке РК по решениям <highlighttext>безопасности</highlighttext> типа SIEM, Web-<highlighttext>безопасности</highlighttext>. Большим ""+"" будет знание...",fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 3 до 6 лет,full
Senior DevOps Инженер,Алматы,,,,2024-12-16T14:49:54+0300,XCloud Labs LTD,"Опыт работы с Kubernetes и Docker. Знание Linux и понимание концепций сетевой <highlighttext>безопасности</highlighttext>. Опыт работы с Terraform, Ansible или другими...",remote,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
DevOps-инженер,Астана,,,,2024-12-15T09:23:16+0300,DauInvest,Опыт работы с Linux системами и их администрированием. Уверенные знания в настройке и управлении веб-серверами Nginx. Опыт работы с...,fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
